artist_id,artist_name
8d0d7d986db54e9d9bef1e4d75ae5be3,!Distain
da6d4f2e34d711b34335dc676889111e,!llmind
555644bc839578bc35972922d5c60cb1,"""A"" Blues Band"
43b61fec4fc685b91a12e12763ae3f92,"""Black Jim"""
c96bf0d131d65771560cccf0fadd3de2,"""Blue"" Gene Tyranny"
522d0ed6042bb789a89e34f42e4a94f2,"""Cuban Orchestra-Test For Mr. Madriguera"""
b77a33ab74b791a9dede1b167b131508,"""Louie Loc"""
c4f909c8a202d8596fa19bccaa608956,"""O"""
e39e347c8e3d46977a12b4bab65ea4a2,"""Papa"" John Defrancesco"
8eb039f2d2bfece6c68c5a1001cdf16e,"""Pseudo-Neidhart"""
d0f5f010de31fa723cdd4ed5aae170e3,"""Sir"" Oliver Mally"
497f580d81bcd41a8d8b93cc882df07e,"""Weird Al"" Yankovic"
2586d9e8bd45836742818d3208ba4935,"""You Fucked Up!"": Stratigic Organizing For The New Millenia"
06d3730efc83058f497d3d44f2f364e3,$1
c8be976fd8f1665ed9228abbc6e9ff26,$IGA A
b8f13b331a17e09c0737cd78395e4030,$NOT
c1575bfe40fe08678967c625a793f560,$afia Bahmed-Schwartz
594fb57c9d7b5a229b9a46ec53afd5d3,$avage
a515450f7c0b44b7866fd95bb32a9991,$bags
c639e72b31ac14d11389fbf62080e83b,$enseimj
d31f701c3cf1e1153c80e85dee790859,$hock Medusa
d82974243965a216dde5fced867313f8,$hoey
5efae8d4668b27c9cef1053e839d21ae,$ilkMoney
8a680c523392f5b4cb56ef7a7a6a3963,$kyhi
60263042b3ef45b7dae88bd3466b65f3,$tupid Young
1fb858e9243e09d57cc910db7736b7d1,& Chino Amobi
3b2a53ec3d0a7b0b9d9532701ec4148a,& Damar
886bfc6fa523a2b7a8ffb27c606f5260,& Ilwil
a4057144ce29719a5b6a7a38589a41bd,& J FOWL )
3c086af0f01f8c45664ef9581046347c,& Jeff Crouse
4542541ed3b03ae60c4a01bc47e22af9,& Ledford
2a04e0ade03e423a8e950282e19cf37e,& Mr. Que
085fc13505b28bf87633f3ea0467f428,& Myrrh
01243d26377a051504eb2bd366c92ce1,& Steve
781465b9f344ee3b4a7850783b214296,& Steward Spraggins
06852e3d8e0bc6376b345a5b242c1f87,&ME
ee44424a67d8fe15116159d7ac32265c,&More (Chill Moody & Donn T)
b08bddd85384dc1898ed2540f5c39bcc,'63 Burnout
cfc6fdfe0b3fe3204990713ff72d3e6e,'68
89605b4d1898c59a94b73281d2ce1fef,'89 Skratch Gangstaz (DJ Pone & Snayk Eyez)
859b6b48e03fe0e77dd342a67fc11a14,'Ale'a
9b815e75d330f664ef40c3133675ef44,'Boodle It' Wiggins
f0c83d1bb11ae0be80980ac273f2bc48,'Cuchichi' Jose
33dd4c45f08fb1cd74f724c84d88e0cb,'Hair' Tribe
4ccb0b9f2444b968798e1615d695feb6,'Lgado
da7def53ed27e053cff285508847caae,'Til Tuesday
790a4d9159497866ef066bc14b077587,'Wild' Bill Davison
d12740f1bc05dfef47e543767286a502,'Zel
3d594d8c403977863eab208643fd2eae,'nita Whitaker
d6da896c5a977b2c8c653f004621d7ed,(+) Comfort
